name,diameter,weight,red,green,blue
0,7.79,142.09,149,83,4
0,7.79,142.08,161,66,8
0,7.79,142.08,166,59,2
0,7.79,142.07,137,63,2
0,7.79,142.07,173,85,5
0,7.79,142.06,176,73,3
0,7.79,142.03,147,64,8
0,7.79,142.09,160,100,12
0,7.77,141.87,163,71,18
0,7.82,142.69,147,71,2
0,7.82,142.71,174,76,2
0,7.86,143.32,145,72,2
0,7.86,143.3,147,104,2
0,7.86,143.26,155,93,16
0,7.85,143.26,153,87,26
0,7.85,143.25,137,81,2
0,7.85,143.25,142,80,2
0,7.85,143.24,164,91,2
0,7.85,143.23,168,64,2
0,7.85,143.23,161,80,2
0,7.85,143.22,162,84,2
0,7.85,143.21,177,79,2
0,7.85,143.18,138,83,12
0,7.85,143.17,163,106,3
0,7.85,143.15,155,92,2
0,7.85,143.15,168,71,7
0,7.86,143.33,159,86,2
0,7.86,143.35,178,98,19
0,7.86,143.35,154,90,2
0,7.86,143.36,152,89,2
0,7.87,143.56,174,82,5
0,7.87,143.55,146,82,2
0,7.86,143.52,160,52,3
0,7.86,143.5,148,70,2
0,7.86,143.49,159,74,18
0,7.86,143.47,168,64,3
0,7.86,143.47,167,87,2
0,7.85,143.15,159,91,24
0,7.86,143.47,149,67,2
0,7.86,143.45,171,96,2
0,7.86,143.43,160,111,21
0,7.86,143.43,170,79,5
0,7.86,143.42,156,70,3
0,7.86,143.41,155,82,2
0,7.86,143.38,155,83,19
0,7.86,143.38,162,90,10
0,7.86,143.46,159,79,13
0,7.82,142.7,123,105,2
0,7.85,143.14,148,71,24
0,7.84,143.13,175,70,5
0,7.83,142.88,149,70,9
0,7.83,142.87,157,80,3
0,7.83,142.86,156,85,2
0,7.83,142.86,167,85,7
0,7.83,142.86,167,88,2
0,7.83,142.83,150,67,12
0,7.83,142.83,140,84,2
0,7.83,142.83,171,83,9
0,7.83,142.81,146,68,2
0,7.82,142.8,151,91,19
0,7.82,142.78,146,68,7
0,7.82,142.78,141,76,13
0,7.82,142.77,161,71,2
0,7.82,142.75,146,76,5
0,7.82,142.75,158,97,4
0,7.83,142.88,152,89,6
0,7.83,142.9,153,62,5
0,7.83,142.91,157,90,2
0,7.83,142.93,157,93,2
0,7.84,143.12,132,78,10
0,7.84,143.12,158,87,5
0,7.84,143.11,149,73,2
0,7.84,143.11,151,68,3
0,7.84,143.08,150,77,2
0,7.84,143.06,175,92,2
0,7.84,143.06,155,82,2
0,7.84,143.14,154,80,6
0,7.84,143.05,152,88,2
0,7.84,143.04,161,76,11
0,7.84,143.02,155,98,2
0,7.84,143.02,149,81,9
0,7.84,143.0,166,90,9
0,7.84,142.96,157,101,5
0,7.83,142.94,155,79,27
0,7.83,142.94,158,73,6
0,7.84,143.04,161,77,12
0,7.77,141.86,159,86,12
0,7.77,141.84,147,98,2
0,7.77,141.83,156,87,2
0,7.69,140.71,153,81,2
0,7.69,140.71,158,79,10
0,7.69,140.71,156,78,21
0,7.69,140.7,163,77,2
0,7.69,140.69,146,82,10
0,7.69,140.69,187,91,4
0,7.69,140.68,163,81,13
0,7.69,140.66,154,83,8
0,7.69,140.66,152,81,3
0,7.69,140.66,141,84,20
0,7.69,140.66,149,72,2
0,7.69,140.65,161,84,7
0,7.68,140.65,154,75,2
0,7.68,140.64,150,71,2
0,7.68,140.64,157,75,2
0,7.69,140.73,153,76,2
0,7.7,140.74,153,87,18
0,7.7,140.74,163,81,3
0,7.7,140.75,177,109,13
0,7.71,140.92,155,85,5
0,7.71,140.92,159,78,15
0,7.71,140.91,160,88,19
0,7.71,140.9,175,76,6
0,7.71,140.9,161,85,2
0,7.71,140.89,168,84,10
0,7.71,140.89,169,84,3
0,7.68,140.62,158,86,2
0,7.71,140.89,146,73,12
0,7.71,140.86,166,91,2
0,7.71,140.86,140,72,15
0,7.7,140.84,153,98,2
0,7.7,140.83,176,88,2
0,7.7,140.81,164,90,18
0,7.7,140.8,161,64,2
0,7.7,140.76,158,64,7
0,7.71,140.89,156,79,4
0,7.71,140.93,169,81,8
0,7.68,140.61,155,61,11
0,7.68,140.59,159,87,18
0,7.67,140.31,160,96,2
0,7.67,140.3,161,79,2
0,7.67,140.3,133,79,7
0,7.66,140.29,153,78,4
0,7.66,140.29,155,82,2
0,7.66,140.29,149,70,2
0,7.66,140.28,167,87,2
0,7.66,140.27,154,73,6
0,7.66,140.24,164,80,2
0,7.66,140.24,156,89,10
0,7.66,140.21,147,96,2
0,7.66,140.21,174,90,2
0,7.65,140.2,176,85,9
0,8.09,146.9,155,96,2
0,7.65,140.17,163,77,11
0,7.67,140.32,148,86,10
0,7.67,140.32,165,109,2
0,7.67,140.33,170,96,13
0,7.67,140.33,150,78,2
0,7.68,140.58,179,100,10
0,7.68,140.58,157,90,4
0,7.68,140.56,158,98,15
0,7.68,140.56,145,77,10
0,7.68,140.54,154,67,9
0,7.68,140.53,150,83,2
0,7.68,140.53,159,92,10
0,7.68,140.6,137,79,14
0,7.67,140.48,153,82,29
0,7.67,140.45,153,56,2
0,7.67,140.45,167,58,2
0,7.67,140.44,165,75,6
0,7.67,140.43,165,89,24
0,7.67,140.43,158,88,7
0,7.67,140.36,162,73,2
0,7.67,140.33,165,75,2
0,7.67,140.45,152,75,2
0,7.71,140.93,155,92,2
0,7.71,140.94,166,85,13
0,7.71,140.96,138,77,14
0,7.76,141.45,151,83,2
0,7.75,141.44,154,87,13
0,7.75,141.44,129,80,13
0,7.75,141.44,132,88,4
0,7.75,141.44,156,88,2
0,7.75,141.42,156,85,2
0,7.75,141.41,164,88,7
0,7.75,141.41,166,96,2
0,7.75,141.4,151,88,2
0,7.75,141.38,157,67,2
0,7.75,141.38,163,69,27
0,7.75,141.36,149,85,2
0,7.75,141.36,159,65,8
0,7.75,141.36,151,62,8
0,7.75,141.36,154,86,2
0,7.76,141.45,165,67,15
0,7.76,141.46,154,74,9
0,7.76,141.46,151,75,2
0,7.76,141.57,142,86,14
0,7.77,141.82,150,66,12
0,7.77,141.77,156,75,20
0,7.77,141.76,149,78,2
0,7.77,141.76,157,74,2
0,7.77,141.74,141,71,2
0,7.77,141.73,154,78,2
0,7.77,141.73,157,83,2
0,7.75,141.35,151,78,2
0,7.77,141.72,149,88,2
0,7.77,141.67,163,71,20
0,7.76,141.67,152,89,13
0,7.76,141.64,156,87,4
0,7.76,141.64,162,77,2
0,7.76,141.59,182,79,3
0,7.76,141.59,169,98,4
0,7.76,141.58,164,84,18
0,7.77,141.68,148,85,2
0,7.75,141.34,141,65,19
0,7.75,141.33,144,79,2
0,7.75,141.3,160,81,14
0,7.72,141.08,162,82,6
0,7.72,141.08,145,87,2
0,7.72,141.06,154,74,2
0,7.72,141.06,148,89,7
0,7.72,141.06,159,91,6
0,7.72,141.04,144,75,3
0,7.72,141.03,162,78,2
0,7.73,141.09,158,81,2
0,7.72,141.03,152,75,11
0,7.72,141.02,162,84,4
0,7.72,141.01,160,64,4
0,7.72,140.99,164,84,2
0,7.72,140.98,162,84,10
0,7.72,140.97,160,76,2
0,7.72,140.97,140,69,6
0,7.71,140.96,161,85,2
0,7.72,141.03,171,82,2
0,7.87,143.57,159,85,2
0,7.73,141.1,161,89,7
0,7.73,141.11,157,85,12
0,7.74,141.29,146,81,7
0,7.74,141.29,165,97,15
0,7.74,141.28,154,77,3
0,7.74,141.27,157,76,2
0,7.74,141.27,154,86,2
0,7.74,141.25,149,78,7
0,7.74,141.25,169,68,2
0,7.73,141.1,166,75,4
0,7.74,141.24,165,77,19
0,7.74,141.21,152,78,4
0,7.74,141.18,148,83,22
0,7.74,141.16,138,83,2
0,7.73,141.14,148,101,2
0,7.73,141.14,173,99,2
0,7.73,141.13,162,85,2
0,7.73,141.12,160,97,4
0,7.74,141.22,150,85,2
0,7.87,143.57,159,86,19
0,7.65,140.19,166,70,18
0,7.87,143.63,144,95,2
0,8.02,145.85,138,73,2
0,8.02,145.85,143,71,8
0,8.02,145.84,175,74,17
0,8.02,145.82,148,79,2
0,8.01,145.82,156,95,20
0,8.01,145.8,154,75,2
0,8.01,145.8,165,68,11
0,8.01,145.79,153,71,27
0,8.01,145.79,154,79,2
0,8.01,145.76,135,103,3
0,8.01,145.76,154,75,2
0,8.01,145.74,139,64,2
0,8.01,145.74,172,94,2
0,8.01,145.72,158,96,10
0,8.01,145.72,136,77,4
0,8.02,145.87,169,85,11
0,8.02,145.88,154,96,5
0,8.02,145.9,162,84,4
0,8.02,145.91,142,69,2
0,8.03,146.05,162,80,12
0,8.03,146.01,151,91,2
0,8.03,146.01,152,75,2
0,8.03,146.01,145,87,13
0,8.03,145.99,153,72,14
0,8.03,145.98,151,98,2
0,8.03,145.98,165,106,2
0,8.01,145.72,159,77,2
0,8.03,145.97,157,82,2
0,8.03,145.96,162,92,14
0,8.03,145.96,162,85,11
0,8.02,145.95,156,69,15
0,8.02,145.95,136,72,2
0,8.02,145.93,160,86,5
0,8.02,145.92,156,81,9
0,8.02,145.92,154,85,2
0,8.03,145.96,168,105,15
0,8.03,146.05,157,82,14
0,8.01,145.71,170,64,6
0,8.01,145.7,163,64,3
0,7.99,145.46,158,76,16
0,7.99,145.46,141,72,2
0,7.99,145.45,153,85,2
0,7.99,145.45,150,72,2
0,7.99,145.44,162,77,4
0,7.98,145.44,150,75,3
0,7.98,145.43,172,80,2
0,7.98,145.38,155,76,2
